2021-01-15 11:01:45.228 | DEBUG    | conftest:task_mark:34 - ======================测试任务开始======================
2021-01-15 11:01:45.229 | DEBUG    | conftest:case_mark:41 - =======================用例开始=======================
2021-01-15 11:01:45.506 | ERROR    | common.handle_assert:eq:14 - eq断言失败，预期结果：0，实际结果：1001
2021-01-15 11:01:45.507 | ERROR    | common.handle_assert:eq:15 - 用例失败！
2021-01-15 11:01:45.657 | DEBUG    | conftest:case_mark:43 - =======================用例结束=======================
2021-01-15 11:01:45.662 | DEBUG    | conftest:case_mark:41 - =======================用例开始=======================
2021-01-15 11:01:45.752 | INFO     | testcases.test_member:test_login:29 - 用例通过！
2021-01-15 11:01:45.754 | DEBUG    | conftest:case_mark:43 - =======================用例结束=======================
2021-01-15 11:01:45.759 | DEBUG    | conftest:case_mark:41 - =======================用例开始=======================
2021-01-15 11:01:45.846 | INFO     | testcases.test_member:test_login:29 - 用例通过！
2021-01-15 11:01:45.848 | DEBUG    | conftest:case_mark:43 - =======================用例结束=======================
2021-01-15 11:01:45.853 | DEBUG    | conftest:case_mark:41 - =======================用例开始=======================
2021-01-15 11:01:46.049 | INFO     | testcases.test_member:test_login:29 - 用例通过！
2021-01-15 11:01:46.051 | DEBUG    | conftest:case_mark:43 - =======================用例结束=======================
2021-01-15 11:01:46.057 | DEBUG    | conftest:case_mark:41 - =======================用例开始=======================
2021-01-15 11:01:46.275 | INFO     | testcases.test_member:test_login:29 - 用例通过！
2021-01-15 11:01:46.306 | DEBUG    | conftest:case_mark:43 - =======================用例结束=======================
2021-01-15 11:01:46.312 | DEBUG    | conftest:case_mark:41 - =======================用例开始=======================
2021-01-15 11:01:46.401 | INFO     | testcases.test_member:test_login:29 - 用例通过！
2021-01-15 11:01:46.403 | DEBUG    | conftest:case_mark:43 - =======================用例结束=======================
2021-01-15 11:01:46.405 | DEBUG    | conftest:task_mark:36 - ======================测试任务结束======================
